robot,variant,coupling,terrain,generation,median,q25,q75,mean,std,n
babya,phi,uncoupled,rugged,140,6.7725,5.237,8.432,6.956733333333333,2.002462620656485,30
babya,phi,uncoupled,rugged,150,7.075,5.75275,8.432,7.156333333333333,2.039767538028636,30
babya,phi,uncoupled,rugged,160,7.3075,6.07925,8.690249999999999,7.444500000000001,2.024415449899823,30
babya,phi,uncoupled,rugged,170,7.7885,6.3020000000000005,9.2165,7.752666666666667,2.0491409862694163,30
babya,phi,uncoupled,rugged,180,8.154499999999999,6.5965,9.512,8.051433333333334,2.0693584493639627,30
babya,phi,uncoupled,rugged,190,8.6675,6.66875,9.56675,8.304466666666666,2.142149335296828,30
babya,phi,uncoupled,rugged,200,8.8045,6.970750000000001,9.98175,8.545866666666665,2.117700863466424,30
babya,phi,uncoupled,rugged,210,8.8045,7.0885,10.33175,8.696,2.113384685187769,30
babya,phi,uncoupled,rugged,220,9.0075,7.4265,10.7045,9.132299999999999,2.0690320600506027,30
babya,phi,uncoupled,rugged,230,9.6745,7.76625,11.338999999999999,9.545,2.287790094663708,30
babya,phi,uncoupled,rugged,240,9.753499999999999,7.923500000000001,11.8755,9.815833333333334,2.405397308688043,30
babya,phi,uncoupled,rugged,250,9.91,8.06825,12.214500000000001,10.118233333333334,2.524207962951921,30
babya,phi,uncoupled,rugged,260,10.1015,8.50475,12.371749999999999,10.425333333333333,2.5345187577394914,30
babya,phi,uncoupled,rugged,270,10.122,8.50475,12.574,10.653500000000001,2.687629140441762,30
babya,phi,uncoupled,rugged,280,10.283,8.61175,12.6415,10.8625,2.7149279376986324,30
babya,phi,uncoupled,rugged,290,10.735,9.029,13.11075,11.307966666666665,2.716826438218367,30
babya,phi,uncoupled,rugged,300,10.904499999999999,9.1295,13.45475,11.494499999999999,2.7357629428205845,30
ege,base,blf,flat,1,1.0705,0.9147500000000001,1.27675,1.1026666666666667,0.25668044447271915,30
ege,base,blf,flat,10,2.129,1.78875,2.43275,2.1209333333333333,0.40068656021911925,30
ege,base,blf,flat,20,2.8815,2.2087499999999998,3.2075,2.7963999999999998,0.6670731025441896,30
ege,base,blf,flat,30,3.0345,2.518,3.722,3.2117999999999998,0.8136105312443566,30
ege,base,blf,flat,40,3.3890000000000002,2.63525,3.985,3.502033333333333,1.020748355740594,30
ege,base,blf,flat,50,3.7039999999999997,3.1077500000000002,4.374499999999999,3.8510333333333335,0.9791749335919055,30
ege,base,blf,flat,60,4.3895,3.4805,4.779999999999999,4.389033333333333,1.251057028478617,30
ege,base,blf,flat,70,5.0969999999999995,3.9627499999999998,5.80725,4.9154,1.29305560591956,30
ege,base,blf,flat,80,5.51,4.473750000000001,6.2305,5.364966666666667,1.4078613882430853,30
ege,base,blf,flat,90,5.875,4.77625,6.53075,5.715866666666667,1.34759373631704,30
ege,base,blf,flat,100,6.35,5.078250000000001,6.954750000000001,6.1184666666666665,1.3344118356513617,30
ege,base,blf,flat,110,6.4955,5.112,7.41175,6.274366666666666,1.3959680730301607,30
ege,base,blf,flat,120,6.8515,5.166,7.69125,6.579933333333333,1.5261068551491839,30
ege,base,blf,flat,130,7.132,5.60075,8.206,6.9037,1.5937726474388179,30
ege,base,blf,flat,140,7.4335,6.4655000000000005,8.303,7.1989,1.6041693381676518,30
ege,base,blf,flat,150,7.7635000000000005,6.6615,8.69625,7.581266666666666,1.7594797023519497,30
ege,base,blf,flat,160,8.2355,6.79875,9.1325,7.887666666666666,1.900266829418571,30
ege,base,blf,flat,170,8.5545,6.8475,9.64875,8.2751,1.9912797539825207,30
ege,base,blf,flat,180,8.7775,6.8475,9.88675,8.4781,1.976598808995932,30
ege,base,blf,flat,190,9.155000000000001,6.863,10.11975,8.719433333333333,2.08251886083827,30
ege,base,blf,flat,200,9.461,6.90625,10.612,9.096166666666667,2.3293659501858133,30
ege,base,blf,flat,210,9.7345,6.92725,10.899,9.323666666666666,2.47869590758908,30
ege,base,blf,flat,220,9.802,7.0577499999999995,10.96525,9.527966666666666,2.5875400177926062,30
ege,base,blf,flat,230,9.873000000000001,7.39125,11.2045,9.6827,2.653055403843288,30
ege,base,blf,flat,240,10.067499999999999,7.9159999999999995,11.565249999999999,9.860066666666667,2.708421883468411,30
ege,base,blf,flat,250,10.1065,8.05725,11.730500000000001,9.980033333333333,2.7899053930731865,30
ege,base,blf,flat,260,10.244,8.05725,11.92125,10.117766666666666,2.855695466755966,30
ege,base,blf,flat,270,10.296,8.05725,12.14,10.230733333333331,2.902887574685656,30
ege,base,blf,flat,280,10.3835,8.1165,12.2745,10.320733333333333,2.9412308698714993,30
ege,base,blf,flat,290,10.4885,8.13275,12.453,10.407266666666667,3.0060133862245055,30
ege,base,blf,flat,300,10.522,8.24375,12.475999999999999,10.497133333333332,3.0658581038012307,30
