robot,variant,coupling,seed,distance,drag_pct,em
babya,phi,uncoupled,8,11.6274,20.0367,0.8544
babya,phi,uncoupled,9,11.3918,8.0267,0.8911
babya,phi,uncoupled,10,17.1593,56.2033,0.9067
babya,phi,uncoupled,11,11.8610,17.1533,0.9087
babya,phi,uncoupled,12,11.7811,12.4667,0.8704
babya,phi,uncoupled,13,8.1456,52.3533,0.9083
babya,phi,uncoupled,14,10.1964,3.5800,0.8818
babya,phi,uncoupled,15,11.7697,13.8133,0.9340
babya,phi,uncoupled,16,13.7717,21.4367,0.9352
babya,phi,uncoupled,17,13.9177,2.4267,0.8982
babya,phi,uncoupled,18,13.1265,20.8200,0.8215
babya,phi,uncoupled,19,11.1784,2.8100,0.8938
babya,phi,uncoupled,20,9.3917,28.8233,0.8597
babya,phi,uncoupled,21,17.2647,5.3167,0.8832
babya,phi,uncoupled,22,18.6576,20.6467,0.9333
babya,phi,uncoupled,23,12.0471,28.5433,0.8427
babya,phi,uncoupled,24,18.6826,22.8767,0.9142
babya,phi,uncoupled,25,18.8115,9.6100,0.8947
babya,phi,uncoupled,26,11.7844,23.0800,0.9215
babya,phi,uncoupled,27,17.1608,17.1900,0.9192
babya,phi,uncoupled,28,12.7671,9.9300,0.8934
babya,phi,uncoupled,29,11.5058,18.9700,0.9306
babya,phi,uncoupled,30,8.7652,28.0300,0.8344
babya,phi,uncoupled,31,13.9314,4.6733,0.9151
babya,phi,uncoupled,32,16.2146,32.6133,0.8908
babya,phi,uncoupled,33,12.1812,22.0000,0.9025
babya,phi,uncoupled,34,12.3895,28.2367,0.8896
babya,phi,uncoupled,35,12.6678,15.9833,0.8562
ege,base,blf,1,8.4542,17.1133,0.8862
ege,base,blf,2,7.2738,17.6733,0.7064
ege,base,blf,3,8.2404,45.7800,0.9025
ege,base,blf,4,7.4787,56.4733,0.6790
ege,base,blf,5,7.2799,56.0500,0.7814
ege,base,blf,6,7.8465,4.3133,0.8500
ege,base,blf,7,8.4714,69.4100,0.8482
ege,base,blf,8,6.9596,12.5233,0.8401
ege,base,blf,9,8.3871,60.5867,0.9097
ege,base,blf,10,6.6123,45.6767,0.7735
ege,base,blf,11,7.8249,47.6100,0.7132
ege,base,blf,12,7.0647,33.7000,0.8154
ege,base,blf,13,8.3029,45.8633,0.9021
ege,base,blf,14,7.3902,38.7733,0.7573
ege,base,blf,15,7.9670,53.5967,0.8775
ege,base,blf,16,8.2187,53.8133,0.8379
ege,base,blf,17,6.5602,62.7400,0.9801
ege,base,blf,18,8.4660,64.7800,0.8350
ege,base,blf,19,8.4032,32.5633,0.8879
ege,base,blf,20,8.2994,33.0667,0.7670
ege,base,blf,21,6.9734,25.5433,0.8844
ege,base,blf,22,7.7190,65.2000,0.9065
ege,base,blf,23,7.9285,57.2500,0.8392
ege,base,blf,24,7.6897,80.0500,0.8730
ege,base,blf,25,7.1087,56.9733,0.9648
ege,base,blf,26,6.6970,58.4333,0.9728
ege,base,blf,27,7.7416,55.9667,0.9198
ege,base,blf,28,9.2654,59.8367,0.7827
ege,base,blf,29,7.4656,55.4300,0.9399
ege,base,blf,30,6.3826,27.0633,0.7929
ege,base,blf,31,7.1670,22.6567,0.8283
ege,base,blf,32,8.0102,52.6333,0.8421
ege,base,blf,33,8.5235,54.6700,0.9036
ege,base,blf,34,7.6081,78.2100,0.9220
ege,base,blf,35,6.9218,76.9033,0.9239
ege,phi,uncoupled,1,7.6483,23.8533,0.8543
ege,phi,uncoupled,2,8.5712,40.1767,0.8569
ege,phi,uncoupled,3,7.6241,59.4500,0.7767
ege,phi,uncoupled,4,6.9468,33.6633,0.7713
ege,phi,uncoupled,5,7.9123,35.4467,0.8664
ege,phi,uncoupled,6,6.5610,65.6900,0.8557
ege,phi,uncoupled,7,8.7574,40.7867,0.9234
ege,phi,uncoupled,8,7.6261,33.2967,0.7996
ege,phi,uncoupled,9,9.1192,60.2433,0.8806
ege,phi,uncoupled,10,7.1430,40.3800,0.7739
ege,phi,uncoupled,11,9.1714,59.1700,0.8950
ege,phi,uncoupled,12,8.3927,60.7067,0.8971
ege,phi,uncoupled,13,6.8015,35.0633,0.8157
ege,phi,uncoupled,14,6.6903,43.3700,0.7909
ege,phi,uncoupled,15,8.7937,50.0967,0.7800
